    p    n    -0.78235    -1.80574  -1
100.00  5.00    5.909    2.611    7.584
  0.01  6.00 -100.000 -100.000 -100.000
  0.10  6.00 -100.000 -100.000 -100.000
  0.20  6.00  -98.328 -100.000  -99.610
  0.40  6.00  -51.856  -72.519  -52.833
  0.70  6.00  -31.615  -44.648  -32.342
  1.00  6.00  -23.373  -33.168  -23.939
  1.50  6.00  -16.844  -23.765  -17.224
  2.00  6.00  -13.512  -18.755  -13.758
  3.00  6.00  -10.053  -13.306  -10.104
  5.00  6.00   -6.770   -8.459   -6.544
 10.00  6.00   -3.260   -4.517   -2.594
 30.00  6.00    1.079   -1.141    2.224
100.00  6.00    5.900    2.610    7.577
  0.01  7.00 -100.000 -100.000 -100.000
  0.10  7.00 -100.000 -100.000 -100.000
  0.20  7.00  -85.783 -100.000  -87.065
  0.40  7.00  -45.540  -72.519  -46.516
  0.70  7.00  -27.931  -44.648  -28.659
  1.00  7.00  -20.710  -33.168  -21.276
  1.50  7.00  -14.933  -23.765  -15.314
  2.00  7.00  -11.948  -18.755  -12.194
  3.00  7.00   -8.842  -13.303   -8.893
  5.00  7.00   -6.161   -8.448   -5.943
 10.00  7.00   -3.173   -4.509   -2.509
 30.00  7.00    1.083   -1.140    2.227
100.00  7.00    5.812    2.603    7.489
  0.01  8.00 -100.000 -100.000 -100.000
  0.10  8.00 -100.000 -100.000 -100.000
  0.20  8.00  -54.947 -100.000  -56.229
  0.40  8.00  -30.116  -72.519  -31.093
  0.70  8.00  -19.102  -44.648  -19.829
  1.00  8.00  -14.507  -33.168  -15.074
  1.50  8.00  -10.755  -23.765  -11.134
  2.00  8.00   -8.764  -18.755   -9.007
  3.00  8.00   -6.621  -13.303   -6.671
  5.00  8.00   -4.679   -8.445   -4.469
 10.00  8.00   -2.544   -4.481   -1.888
 30.00  8.00    1.113   -1.135    2.258
100.00  8.00    5.176    2.583    6.865
  0.01  9.00   -2.960 -100.000   -3.174
  0.10  9.00   -2.960 -100.000   -3.173
  0.20  9.00   -2.958 -100.000   -3.169
  0.40  9.00   -2.952  -72.519   -3.157
  0.70  9.00   -2.935  -44.648   -3.124
  1.00  9.00   -2.909  -33.168   -3.075
  1.50  9.00   -2.847  -23.765   -2.962
  2.00  9.00   -2.760  -18.755   -2.811
  3.00  9.00   -2.539  -13.303   -2.454
  5.00  9.00   -2.094   -8.445   -1.810
 10.00  9.00   -1.101   -4.472   -0.454
 30.00  9.00    1.397   -1.099    2.545
100.00  9.00    4.173    2.649    5.877
  0.01 10.00    0.838 -100.000    1.392
  0.10 10.00    0.838 -100.000    1.392
  0.20 10.00    0.839 -100.000    1.392
  0.40 10.00    0.839  -72.519    1.392
  0.70 10.00    0.840  -44.648    1.394
  1.00 10.00    0.841  -33.168    1.396
  1.50 10.00    0.845  -23.765    1.402
  2.00 10.00    0.851  -18.755    1.411
  3.00 10.00    0.870  -13.303    1.441
  5.00 10.00    0.930   -8.445    1.533
 10.00 10.00    1.145   -4.472    1.867
 30.00 10.00    2.460   -1.059    3.647
100.00 10.00    3.921    2.733    5.625
  0.01 11.00    3.512 -100.000    4.594
  0.10 11.00    3.512 -100.000    4.594
  0.20 11.00    3.512 -100.000    4.594
  0.40 11.00    3.512  -72.519    4.594
  0.70 11.00    3.512  -44.648    4.594
  1.00 11.00    3.512  -33.168    4.594
  1.50 11.00    3.512  -23.765    4.594
  2.00 11.00    3.512  -18.755    4.595
  3.00 11.00    3.511  -13.303    4.595
  5.00 11.00    3.510   -8.445    4.599
 10.00 11.00    3.520   -4.472    4.628
 30.00 11.00    3.955   -1.056    5.284
100.00 11.00    4.438    2.740    6.013
 na25 mg25     3.83501     4.85840   1
  0.01  1.00   -1.946 -100.000   -1.668
  0.10  1.00   -1.946  -54.759   -1.668
  0.20  1.00   -1.945  -27.888   -1.667
  0.40  1.00   -1.940  -13.919   -1.660
  0.70  1.00   -1.930   -8.152   -1.647
  1.00  1.00   -1.924   -6.679   -1.638
  1.50  1.00   -1.917   -5.447   -1.629
  2.00  1.00   -1.913   -4.741   -1.624
  3.00  1.00   -1.909   -3.891   -1.609
  5.00  1.00   -1.866   -2.928   -1.463
 10.00  1.00   -1.145   -1.374   -0.296
 30.00  1.00   -0.011    1.476    2.600
100.00  1.00    1.249    4.643    5.818
  0.01  2.00   -1.946 -100.000   -1.668
  0.10  2.00   -1.946  -55.760   -1.668
  0.20  2.00   -1.945  -28.888   -1.667
  0.40  2.00   -1.940  -14.919   -1.660
  0.70  2.00   -1.930   -8.565   -1.647
  1.00  2.00   -1.924   -6.701   -1.638
  1.50  2.00   -1.917   -5.448   -1.629
  2.00  2.00   -1.913   -4.741   -1.624
  3.00  2.00   -1.909   -3.891   -1.609
  5.00  2.00   -1.866   -2.928   -1.463
 10.00  2.00   -1.145   -1.374   -0.296
 30.00  2.00   -0.011    1.476    2.600
100.00  2.00    1.249    4.643    5.818
  0.01  3.00   -1.946 -100.000   -1.668
  0.10  3.00   -1.946  -56.777   -1.668
  0.20  3.00   -1.945  -29.894   -1.667
  0.40  3.00   -1.940  -15.921   -1.660
  0.70  3.00   -1.930   -9.514   -1.647
  1.00  3.00   -1.924   -6.907   -1.638
  1.50  3.00   -1.917   -5.463   -1.629
  2.00  3.00   -1.913   -4.744   -1.624
  3.00  3.00   -1.909   -3.892   -1.609
  5.00  3.00   -1.866   -2.929   -1.463
 10.00  3.00   -1.145   -1.374   -0.296
 30.00  3.00   -0.011    1.476    2.600
100.00  3.00    1.249    4.643    5.818
  0.01  4.00   -1.946 -100.000   -1.668
  0.10  4.00   -1.946  -57.937   -1.668
  0.20  4.00   -1.945  -30.949   -1.667
  0.40  4.00   -1.940  -16.939   -1.660
  0.70  4.00   -1.930  -10.520   -1.647
  1.00  4.00   -1.924   -7.729   -1.639
  1.50  4.00   -1.917   -5.604   -1.630
  2.00  4.00   -1.914   -4.775   -1.624
  3.00  4.00   -1.909   -3.897   -1.609
  5.00  4.00   -1.866   -2.929   -1.463
 10.00  4.00   -1.145   -1.374   -0.297
 30.00  4.00   -0.011    1.476    2.600
100.00  4.00    1.249    4.643    5.819
  0.01  5.00   -1.947 -100.000   -1.670
  0.10  5.00   -1.947  -60.286   -1.670
  0.20  5.00   -1.947  -32.452   -1.669
  0.40  5.00   -1.941  -18.110   -1.662
  0.70  5.00   -1.931  -11.586   -1.649
  1.00  5.00   -1.925   -8.760   -1.640
  1.50  5.00   -1.918   -6.337   -1.631
  2.00  5.00   -1.914   -5.062   -1.625
  3.00  5.00   -1.909   -3.949   -1.611
  5.00  5.00   -1.866   -2.937   -1.465
 10.00  5.00   -1.145   -1.375   -0.297
 30.00  5.00   -0.011    1.476    2.600
100.00  5.00    1.249    4.644    5.819
  0.01  6.00   -1.956 -100.000   -1.685
  0.10  6.00   -1.956  -68.480   -1.685
  0.20  6.00   -1.956  -36.634   -1.684
  0.40  6.00   -1.951  -20.384   -1.677
  0.70  6.00   -1.940  -13.136   -1.663
  1.00  6.00   -1.933  -10.063   -1.653
  1.50  6.00   -1.926   -7.474   -1.643
  2.00  6.00   -1.921   -6.026   -1.636
  3.00  6.00   -1.914   -4.385   -1.623
  5.00  6.00   -1.868   -3.017   -1.479
 10.00  6.00   -1.145   -1.383   -0.302
 30.00  6.00   -0.011    1.476    2.600
100.00  6.00    1.249    4.653    5.824
  0.01  7.00   -2.024 -100.000   -1.783
  0.10  7.00   -2.024  -93.526   -1.783
  0.20  7.00   -2.024  -49.179   -1.782
  0.40  7.00   -2.017  -26.700   -1.774
  0.70  7.00   -2.005  -16.820   -1.758
  1.00  7.00   -1.996  -12.726   -1.746
  1.50  7.00   -1.986   -9.384   -1.731
  2.00  7.00   -1.979   -7.591   -1.720
  3.00  7.00   -1.965   -5.596   -1.698
  5.00  7.00   -1.898   -3.617   -1.565
 10.00  7.00   -1.149   -1.470   -0.344
 30.00  7.00   -0.012    1.473    2.597
100.00  7.00    1.251    4.743    5.865
  0.01  8.00   -2.486 -100.000   -2.395
  0.10  8.00   -2.486 -100.000   -2.394
  0.20  8.00   -2.485  -80.040   -2.393
  0.40  8.00   -2.473  -42.149   -2.379
  0.70  8.00   -2.450  -25.675   -2.351
  1.00  8.00   -2.432  -18.956   -2.328
  1.50  8.00   -2.408  -13.589   -2.295
  2.00  8.00   -2.386  -10.798   -2.262
  3.00  8.00   -2.338   -7.836   -2.188
  5.00  8.00   -2.170   -5.119   -1.909
 10.00  8.00   -1.205   -2.114   -0.582
 30.00  8.00   -0.017    1.442    2.566
100.00  8.00    1.303    5.393    6.064
  0.01  9.00 -100.000 -100.000 -100.000
  0.10  9.00  -50.340 -100.000  -51.929
  0.20  9.00  -28.369 -100.000  -29.659
  0.40  9.00  -16.955  -76.602  -17.947
  0.70  9.00  -11.758  -45.376  -12.513
  1.00  9.00   -9.527  -32.761  -10.132
  1.50  9.00   -7.635  -22.815   -8.068
  2.00  9.00   -6.566  -17.742   -6.857
  3.00  9.00   -5.225  -12.511   -5.245
  5.00  9.00   -3.523   -8.012   -3.255
 10.00  9.00   -1.637   -3.731   -1.158
 30.00  9.00   -0.075    1.150    2.277
100.00  9.00    1.661    6.573    6.094
  0.01 10.00 -100.000 -100.000 -100.000
  0.10 10.00 -100.000 -100.000 -100.000
  0.20 10.00 -100.000 -100.000 -100.000
  0.40 10.00  -89.871 -100.000  -90.855
  0.70 10.00  -52.598  -88.136  -53.339
  1.00 10.00  -37.528  -62.699  -38.114
  1.50 10.00  -25.642  -42.784  -26.049
  2.00 10.00  -19.583  -32.730  -19.863
  3.00 10.00  -13.352  -22.524  -13.456
  5.00 10.00   -8.091  -14.061   -7.983
 10.00 10.00   -3.746   -6.851   -3.379
 30.00 10.00   -0.646   -0.053    1.098
100.00 10.00    2.798    7.500    6.072
  0.01 11.00 -100.000 -100.000 -100.000
  0.10 11.00 -100.000 -100.000 -100.000
  0.20 11.00 -100.000 -100.000 -100.000
  0.40 11.00 -100.000 -100.000 -100.000
  0.70 11.00 -100.000 -100.000 -100.000
  1.00 11.00 -100.000 -100.000 -100.000
  1.50 11.00  -68.378  -85.851  -68.800
  2.00 11.00  -51.573  -65.035  -51.874
  3.00 11.00  -34.608  -44.071  -34.741
  5.00 11.00  -20.794  -27.008  -20.720
 10.00 11.00  -10.075  -13.369   -9.744
 30.00 11.00   -2.771   -2.379   -1.213
100.00 11.00    5.345    9.832    8.266
 al25 mg25     4.27666     3.25327  -1
  0.01  1.00   -6.242   -1.032   -0.780
  0.10  1.00   -6.718   -1.032   -0.780
  0.20  1.00   -6.842   -1.032   -0.780
  0.40  1.00   -6.945   -1.032   -0.780
  0.70  1.00   -6.369   -1.032   -0.780
  1.00  1.00   -5.081   -1.032   -0.780
  1.50  1.00   -3.927   -1.033   -0.780
  2.00  1.00   -3.266   -1.036   -0.778
  3.00  1.00   -2.474   -1.044   -0.753
  5.00  1.00   -1.592   -1.059   -0.535
 10.00  1.00   -0.403   -0.990    0.477
 30.00  1.00    1.833    0.234    3.021
100.00  1.00    4.317    1.594    5.848
  0.01  2.00   -5.262   -1.032   -0.780
  0.10  2.00   -5.719   -1.032   -0.780
  0.20  2.00   -5.842   -1.032   -0.780
  0.40  2.00   -5.945   -1.032   -0.780
  0.70  2.00   -5.956   -1.032   -0.780
  1.00  2.00   -5.060   -1.032   -0.780
  1.50  2.00   -3.926   -1.033   -0.780
  2.00  2.00   -3.266   -1.036   -0.778
  3.00  2.00   -2.474   -1.044   -0.753
  5.00  2.00   -1.592   -1.059   -0.535
 10.00  2.00   -0.403   -0.990    0.477
 30.00  2.00    1.833    0.234    3.021
100.00  2.00    4.317    1.594    5.848
  0.01  3.00   -4.392   -1.032   -0.779
  0.10  3.00   -4.725   -1.032   -0.779
  0.20  3.00   -4.844   -1.032   -0.779
  0.40  3.00   -4.946   -1.032   -0.780
  0.70  3.00   -5.009   -1.032   -0.780
  1.00  3.00   -4.854   -1.032   -0.780
  1.50  3.00   -3.911   -1.033   -0.780
  2.00  3.00   -3.263   -1.036   -0.778
  3.00  3.00   -2.474   -1.044   -0.753
  5.00  3.00   -1.592   -1.059   -0.535
 10.00  3.00   -0.403   -0.990    0.477
 30.00  3.00    1.833    0.234    3.021
100.00  3.00    4.317    1.594    5.848
  0.01  4.00   -3.675   -1.032   -0.777
  0.10  4.00   -3.773   -1.032   -0.778
  0.20  4.00   -3.860   -1.032   -0.778
  0.40  4.00   -3.950   -1.032   -0.778
  0.70  4.00   -4.011   -1.032   -0.779
  1.00  4.00   -4.036   -1.032   -0.779
  1.50  4.00   -3.771   -1.033   -0.779
  2.00  4.00   -3.232   -1.036   -0.778
  3.00  4.00   -2.468   -1.044   -0.752
  5.00  4.00   -1.591   -1.059   -0.535
 10.00  4.00   -0.403   -0.990    0.477
 30.00  4.00    1.833    0.234    3.021
100.00  4.00    4.317    1.594    5.848
  0.01  5.00   -2.928   -1.032   -0.767
  0.10  5.00   -2.934   -1.032   -0.767
  0.20  5.00   -2.949   -1.032   -0.768
  0.40  5.00   -2.985   -1.032   -0.768
  0.70  5.00   -3.023   -1.032   -0.769
  1.00  5.00   -3.044   -1.032   -0.770
  1.50  5.00   -3.053   -1.033   -0.771
  2.00  5.00   -2.950   -1.036   -0.771
  3.00  5.00   -2.417   -1.044   -0.747
  5.00  5.00   -1.583   -1.058   -0.531
 10.00  5.00   -0.402   -0.990    0.478
 30.00  5.00    1.833    0.234    3.021
100.00  5.00    4.316    1.594    5.847
  0.01  6.00   -2.065   -1.032   -0.692
  0.10  6.00   -2.065   -1.032   -0.692
  0.20  6.00   -2.065   -1.032   -0.692
  0.40  6.00   -2.066   -1.032   -0.692
  0.70  6.00   -2.067   -1.032   -0.692
  1.00  6.00   -2.069   -1.032   -0.692
  1.50  6.00   -2.069   -1.033   -0.692
  2.00  6.00   -2.064   -1.036   -0.691
  3.00  6.00   -1.999   -1.043   -0.679
  5.00  6.00   -1.505   -1.057   -0.490
 10.00  6.00   -0.394   -0.989    0.486
 30.00  6.00    1.833    0.234    3.021
100.00  6.00    4.307    1.593    5.838
  0.01  7.00   -1.068   -1.032   -0.249
  0.10  7.00   -1.068   -1.032   -0.249
  0.20  7.00   -1.067   -1.032   -0.249
  0.40  7.00   -1.067   -1.032   -0.248
  0.70  7.00   -1.065   -1.032   -0.246
  1.00  7.00   -1.062   -1.032   -0.243
  1.50  7.00   -1.056   -1.033   -0.236
  2.00  7.00   -1.048   -1.036   -0.227
  3.00  7.00   -1.029   -1.042   -0.204
  5.00  7.00   -0.953   -1.050   -0.117
 10.00  7.00   -0.310   -0.982    0.566
 30.00  7.00    1.837    0.234    3.024
100.00  7.00    4.223    1.585    5.755
  0.01  8.00    0.064   -1.032    0.821
  0.10  8.00    0.064   -1.032    0.821
  0.20  8.00    0.065   -1.032    0.821
  0.40  8.00    0.065   -1.032    0.821
  0.70  8.00    0.066   -1.032    0.823
  1.00  8.00    0.067   -1.032    0.825
  1.50  8.00    0.070   -1.033    0.829
  2.00  8.00    0.073   -1.036    0.835
  3.00  8.00    0.083   -1.042    0.850
  5.00  8.00    0.114   -1.047    0.901
 10.00  8.00    0.278   -0.955    1.147
 30.00  8.00    1.867    0.238    3.055
100.00  8.00    3.633    1.564    5.175
  0.01  9.00    1.343   -1.032    2.225
  0.10  9.00    1.343   -1.032    2.225
  0.20  9.00    1.343   -1.032    2.225
  0.40  9.00    1.343   -1.032    2.226
  0.70  9.00    1.343   -1.032    2.226
  1.00  9.00    1.344   -1.032    2.227
  1.50  9.00    1.345   -1.033    2.228
  2.00  9.00    1.346   -1.036    2.230
  3.00  9.00    1.350   -1.042    2.236
  5.00  9.00    1.363   -1.047    2.255
 10.00  9.00    1.441   -0.946    2.372
 30.00  9.00    2.148    0.264    3.339
100.00  9.00    2.934    1.608    4.413
  0.01 10.00    2.810   -1.032    3.873
  0.10 10.00    2.810   -1.032    3.873
  0.20 10.00    2.810   -1.032    3.873
  0.40 10.00    2.810   -1.032    3.873
  0.70 10.00    2.810   -1.032    3.873
  1.00 10.00    2.811   -1.032    3.873
  1.50 10.00    2.811   -1.033    3.874
  2.00 10.00    2.812   -1.036    3.875
  3.00 10.00    2.814   -1.042    3.877
  5.00 10.00    2.820   -1.047    3.884
 10.00 10.00    2.853   -0.946    3.931
 30.00 10.00    3.180    0.294    4.416
100.00 10.00    3.543    1.672    4.955
  0.01 11.00    4.453   -1.032    5.753
  0.10 11.00    4.453   -1.032    5.753
  0.20 11.00    4.453   -1.032    5.753
  0.40 11.00    4.453   -1.032    5.754
  0.70 11.00    4.453   -1.032    5.754
  1.00 11.00    4.453   -1.032    5.754
  1.50 11.00    4.453   -1.033    5.754
  2.00 11.00    4.453   -1.036    5.754
  3.00 11.00    4.454   -1.042    5.755
  5.00 11.00    4.454   -1.047    5.757
 10.00 11.00    4.462   -0.946    5.771
 30.00 11.00    4.578    0.296    5.966
100.00 11.00    4.707    1.676    6.183
 mg25 al25    -4.27666    -3.25327   1
  0.01  1.00 -100.000 -100.000 -100.000
  0.10  1.00 -100.000 -100.000 -100.000
  0.20  1.00 -100.000 -100.000 -100.000
  0.40  1.00  -63.360  -55.312  -56.290
  0.70  1.00  -39.808  -31.707  -32.436
  1.00  1.00  -30.195  -23.036  -23.604
  1.50  1.00  -22.183  -16.147  -16.530
  2.00  1.00  -17.693  -12.579  -12.829
  3.00  1.00  -12.647   -8.832   -8.890
  5.00  1.00   -8.303   -5.539   -5.350
 10.00  1.00   -4.550   -2.516   -1.975
 30.00  1.00   -1.398    0.983    2.061
100.00  1.00    2.104    4.871    6.545
  0.01  2.00 -100.000 -100.000 -100.000
  0.10  2.00 -100.000 -100.000 -100.000
  0.20  2.00 -100.000 -100.000 -100.000
  0.40  2.00  -63.360  -56.313  -57.290
  0.70  2.00  -39.809  -32.120  -32.849
  1.00  2.00  -30.195  -23.057  -23.625
  1.50  2.00  -22.183  -16.149  -16.532
  2.00  2.00  -17.693  -12.579  -12.829
  3.00  2.00  -12.647   -8.832   -8.890
  5.00  2.00   -8.303   -5.539   -5.350
 10.00  2.00   -4.550   -2.516   -1.975
 30.00  2.00   -1.398    0.983    2.061
100.00  2.00    2.104    4.871    6.545
  0.01  3.00 -100.000 -100.000 -100.000
  0.10  3.00 -100.000 -100.000 -100.000
  0.20  3.00 -100.000 -100.000 -100.000
  0.40  3.00  -63.363  -57.314  -58.292
  0.70  3.00  -39.810  -33.069  -33.797
  1.00  3.00  -30.195  -23.264  -23.831
  1.50  3.00  -22.183  -16.163  -16.547
  2.00  3.00  -17.693  -12.582  -12.832
  3.00  3.00  -12.647   -8.832   -8.891
  5.00  3.00   -8.303   -5.540   -5.350
 10.00  3.00   -4.550   -2.516   -1.975
 30.00  3.00   -1.398    0.983    2.061
100.00  3.00    2.104    4.871    6.545
  0.01  4.00 -100.000 -100.000 -100.000
  0.10  4.00 -100.000 -100.000 -100.000
  0.20  4.00 -100.000 -100.000 -100.000
  0.40  4.00  -63.394  -58.332  -59.309
  0.70  4.00  -39.825  -34.075  -34.803
  1.00  4.00  -30.201  -24.085  -24.653
  1.50  4.00  -22.184  -16.305  -16.688
  2.00  4.00  -17.694  -12.614  -12.864
  3.00  4.00  -12.647   -8.838   -8.896
  5.00  4.00   -8.303   -5.540   -5.351
 10.00  4.00   -4.550   -2.516   -1.975
 30.00  4.00   -1.398    0.983    2.061
100.00  4.00    2.104    4.871    6.545
  0.01  5.00 -100.000 -100.000 -100.000
  0.10  5.00 -100.000 -100.000 -100.000
  0.20  5.00 -100.000 -100.000 -100.000
  0.40  5.00  -63.682  -59.503  -60.480
  0.70  5.00  -39.963  -35.141  -35.870
  1.00  5.00  -30.262  -25.117  -25.685
  1.50  5.00  -22.200  -17.039  -17.422
  2.00  5.00  -17.698  -12.902  -13.152
  3.00  5.00  -12.648   -8.891   -8.950
  5.00  5.00   -8.303   -5.549   -5.359
 10.00  5.00   -4.550   -2.517   -1.976
 30.00  5.00   -1.398    0.983    2.061
100.00  5.00    2.104    4.872    6.547
  0.01  6.00 -100.000 -100.000 -100.000
  0.10  6.00 -100.000 -100.000 -100.000
  0.20  6.00 -100.000 -100.000 -100.000
  0.40  6.00  -65.617  -61.777  -62.754
  0.70  6.00  -40.887  -36.691  -37.419
  1.00  6.00  -30.670  -26.420  -26.988
  1.50  6.00  -22.354  -18.176  -18.559
  2.00  6.00  -17.756  -13.869  -14.119
  3.00  6.00  -12.663   -9.333   -9.392
  5.00  6.00   -8.307   -5.631   -5.442
 10.00  6.00   -4.550   -2.526   -1.985
 30.00  6.00   -1.398    0.982    2.060
100.00  6.00    2.104    4.880    6.554
  0.01  7.00 -100.000 -100.000 -100.000
  0.10  7.00 -100.000 -100.000 -100.000
  0.20  7.00 -100.000 -100.000 -100.000
  0.40  7.00  -71.275  -68.093  -69.070
  0.70  7.00  -43.707  -40.375  -41.103
  1.00  7.00  -32.460  -29.083  -29.651
  1.50  7.00  -23.159  -20.087  -20.469
  2.00  7.00  -18.094  -15.435  -15.683
  3.00  7.00  -12.816  -10.548  -10.603
  5.00  7.00   -8.366   -6.243   -6.051
 10.00  7.00   -4.558   -2.615   -2.073
 30.00  7.00   -1.399    0.979    2.057
100.00  7.00    2.111    4.972    6.646
  0.01  8.00 -100.000 -100.000 -100.000
  0.10  8.00 -100.000 -100.000 -100.000
  0.20  8.00 -100.000 -100.000 -100.000
  0.40  8.00  -84.488  -83.542  -84.469
  0.70  8.00  -50.144  -49.231  -49.907
  1.00  8.00  -36.232  -35.313  -35.831
  1.50  8.00  -25.240  -24.291  -24.629
  2.00  8.00  -19.612  -18.642  -18.848
  3.00  8.00  -13.783  -12.788  -12.806
  5.00  8.00   -8.852   -7.748   -7.532
 10.00  8.00   -4.664   -3.267   -2.717
 30.00  8.00   -1.404    0.948    2.026
100.00  8.00    2.218    5.631    7.296
  0.01  9.00 -100.000 -100.000 -100.000
  0.10  9.00 -100.000 -100.000 -100.000
  0.20  9.00 -100.000 -100.000 -100.000
  0.40  9.00 -100.000 -100.000 -100.000
  0.70  9.00  -68.936  -68.932  -69.375
  1.00  9.00  -49.155  -49.118  -49.420
  1.50  9.00  -33.599  -33.517  -33.657
  2.00  9.00  -25.698  -25.585  -25.605
  3.00  9.00  -17.606  -17.463  -17.302
  5.00  9.00  -10.825  -10.641  -10.255
 10.00  9.00   -5.341   -4.887   -4.256
 30.00  9.00   -1.475    0.655    1.732
100.00  9.00    2.821    6.813    8.385
  0.01 10.00 -100.000 -100.000 -100.000
  0.10 10.00 -100.000 -100.000 -100.000
  0.20 10.00 -100.000 -100.000 -100.000
  0.40 10.00 -100.000 -100.000 -100.000
  0.70 10.00 -100.000 -100.000 -100.000
  1.00 10.00  -78.227  -79.056  -78.762
  1.50 10.00  -52.642  -53.486  -53.007
  2.00 10.00  -39.770  -40.573  -40.007
  3.00 10.00  -26.704  -27.476  -26.758
  5.00 10.00  -16.067  -16.691  -15.876
 10.00 10.00   -7.798   -8.007   -7.172
 30.00 10.00   -2.122   -0.550    0.529
100.00 10.00    4.185    7.736    9.086
  0.01 11.00 -100.000 -100.000 -100.000
  0.10 11.00 -100.000 -100.000 -100.000
  0.20 11.00 -100.000 -100.000 -100.000
  0.40 11.00 -100.000 -100.000 -100.000
  0.70 11.00 -100.000 -100.000 -100.000
  1.00 11.00 -100.000 -100.000 -100.000
  1.50 11.00  -95.709  -96.553  -96.073
  2.00 11.00  -72.074  -72.879  -72.312
  3.00 11.00  -48.216  -49.023  -48.284
  5.00 11.00  -28.924  -29.638  -28.764
 10.00 11.00  -14.228  -14.525  -13.653
 30.00 11.00   -4.297   -2.877   -1.797
100.00 11.00    6.737   10.065   11.376
 si25 al25    12.74049    11.71710  -1
  0.01  1.00   -5.468    0.513    1.177
  0.10  1.00   -5.949    0.513    1.177
  0.20  1.00   -6.075    0.513    1.177
  0.40  1.00   -6.184    0.514    1.178
  0.70  1.00   -5.613    0.515    1.180
  1.00  1.00   -4.329    0.517    1.182
  1.50  1.00   -3.180    0.518    1.184
  2.00  1.00   -2.522    0.519    1.186
  3.00  1.00   -1.735    0.520    1.190
  5.00  1.00   -0.862    0.525    1.220
 10.00  1.00    0.300    0.675    1.629
 30.00  1.00    2.280    1.298    3.531
100.00  1.00    4.480    1.990    5.644
  0.01  2.00   -4.489    0.513    1.177
  0.10  2.00   -4.949    0.513    1.177
  0.20  2.00   -5.076    0.513    1.177
  0.40  2.00   -5.184    0.514    1.178
  0.70  2.00   -5.200    0.515    1.180
  1.00  2.00   -4.307    0.517    1.182
  1.50  2.00   -3.178    0.518    1.184
  2.00  2.00   -2.522    0.519    1.186
  3.00  2.00   -1.735    0.520    1.190
  5.00  2.00   -0.862    0.525    1.220
 10.00  2.00    0.300    0.675    1.629
 30.00  2.00    2.280    1.298    3.531
100.00  2.00    4.480    1.990    5.644
  0.01  3.00   -3.619    0.513    1.177
  0.10  3.00   -3.955    0.513    1.177
  0.20  3.00   -4.078    0.513    1.177
  0.40  3.00   -4.185    0.514    1.178
  0.70  3.00   -4.253    0.515    1.180
  1.00  3.00   -4.102    0.517    1.182
  1.50  3.00   -3.164    0.518    1.184
  2.00  3.00   -2.519    0.519    1.186
  3.00  3.00   -1.735    0.520    1.190
  5.00  3.00   -0.862    0.525    1.220
 10.00  3.00    0.300    0.675    1.629
 30.00  3.00    2.280    1.298    3.531
100.00  3.00    4.480    1.990    5.644
  0.01  4.00   -2.904    0.513    1.177
  0.10  4.00   -3.004    0.513    1.177
  0.20  4.00   -3.095    0.513    1.177
  0.40  4.00   -3.189    0.514    1.178
  0.70  4.00   -3.255    0.515    1.180
  1.00  4.00   -3.284    0.517    1.182
  1.50  4.00   -3.023    0.518    1.184
  2.00  4.00   -2.488    0.519    1.186
  3.00  4.00   -1.730    0.520    1.190
  5.00  4.00   -0.861    0.525    1.220
 10.00  4.00    0.300    0.675    1.629
 30.00  4.00    2.280    1.298    3.531
100.00  4.00    4.480    1.990    5.644
  0.01  5.00   -2.166    0.513    1.179
  0.10  5.00   -2.171    0.513    1.179
  0.20  5.00   -2.188    0.513    1.178
  0.40  5.00   -2.226    0.514    1.179
  0.70  5.00   -2.268    0.515    1.181
  1.00  5.00   -2.293    0.517    1.182
  1.50  5.00   -2.306    0.518    1.185
  2.00  5.00   -2.206    0.519    1.186
  3.00  5.00   -1.678    0.520    1.191
  5.00  5.00   -0.853    0.525    1.221
 10.00  5.00    0.301    0.675    1.630
 30.00  5.00    2.280    1.298    3.531
100.00  5.00    4.479    1.990    5.643
  0.01  6.00   -1.315    0.513    1.186
  0.10  6.00   -1.315    0.513    1.186
  0.20  6.00   -1.315    0.513    1.186
  0.40  6.00   -1.316    0.514    1.186
  0.70  6.00   -1.319    0.515    1.188
  1.00  6.00   -1.322    0.517    1.190
  1.50  6.00   -1.325    0.518    1.192
  2.00  6.00   -1.322    0.519    1.194
  3.00  6.00   -1.261    0.521    1.197
  5.00  6.00   -0.774    0.526    1.226
 10.00  6.00    0.309    0.675    1.633
 30.00  6.00    2.281    1.298    3.531
100.00  6.00    4.472    1.990    5.640
  0.01  7.00   -0.334    0.513    1.254
  0.10  7.00   -0.334    0.513    1.254
  0.20  7.00   -0.334    0.513    1.254
  0.40  7.00   -0.333    0.514    1.254
  0.70  7.00   -0.331    0.515    1.256
  1.00  7.00   -0.329    0.517    1.259
  1.50  7.00   -0.324    0.518    1.262
  2.00  7.00   -0.316    0.519    1.265
  3.00  7.00   -0.298    0.521    1.271
  5.00  7.00   -0.225    0.527    1.298
 10.00  7.00    0.393    0.677    1.670
 30.00  7.00    2.284    1.298    3.534
100.00  7.00    4.385    1.988    5.605
  0.01  8.00    0.773    0.513    1.751
  0.10  8.00    0.773    0.513    1.751
  0.20  8.00    0.773    0.513    1.751
  0.40  8.00    0.774    0.514    1.751
  0.70  8.00    0.774    0.515    1.753
